patent_id,citation_patent_id,fwd_cit_bwd
10117672,4469099,0
10117774,4164560,0
10117809,6387981,0
10117869,3950333,0
10117909,5514646,0
10117919,4237224,0
10117961,5780860,0
10117972,4733665,0
10118134,3953566,0
10118177,4599315,0
10118338,4575330,0
10118376,4575330,0
10118618,5471515,0
10118950,4683195,0
10118958,4816567,0
10118958,5770429,1
10118958,5939598,0
10118961,4816567,0
10118962,4816397,0
10118962,4816567,0
10118968,5939598,0
10118969,4816567,0
10118969,5061620,0
10118970,4816567,0
10118970,6331415,1
10119090,4827064,0
10119090,4827073,0
10119093,4827064,0
10119093,4827073,0
10119134,4683195,0
10119134,4889818,1
10119134,4965188,1
10119972,4816567,0
10119972,5061620,0
10119979,4683195,0
10120586,5297148,0
10120694,5297148,0
10120816,5297148,0
10121186,5960411,0
10121198,5960411,0
10122364,4870302,0
10122630,6108703,1
10122699,4405829,0
10122763,7197462,0
10123430,5527628,0
10123518,4736866,0
10123706,4575330,0
10123806,4469099,1
10123894,4733665,0
10123894,4733665,0
10124070,4816567,0
10125192,4816567,0
10125192,5939598,1
10125373,4683195,0
10125381,4683195,0
10125390,6787308,1
10125392,6787308,0
10126301,4816567,0
10126313,4816567,0
10126313,6153410,0
10127149,6671821,0
10127220,7166791,1
10127369,5291560,0
10127738,5471515,0
10127816,4405829,0
10127816,5103459,0
10127911,7166791,1
10127944,5960411,0
10128537,6221534,0
10129576,5960411,0
10130081,5770429,0
10130081,5939598,0
10130445,4575330,0
10130465,4733665,1
10130581,5514646,1
10130626,4816567,0
10130685,5514646,1
10130709,5514646,1
10130714,4816567,0
10130714,5061620,0
10130718,4816567,0
10130844,5961804,1
10131279,5471515,0
10131429,4474245,0
10131658,4816567,0
10131682,4816567,0
10131682,5770429,1
10131682,5939598,1
10131704,4816567,0
10131704,5939598,1
10131873,4816567,0
10131904,4415732,0
10131937,4683195,0
10131947,4683195,0
10131951,4683195,0
10131958,6787308,0
10132797,4816567,0
10132797,5939598,1
10132799,4816567,0
10132799,7807619,0
10132818,5770429,1
10132971,5471515,0
10133140,4870302,1
10133243,4901221,0
10133686,5297148,0
10133723,6285999,1
10133788,6285999,0
10133804,6108703,0
10133857,5291560,0
10134385,7166791,1
10135357,5998833,1
10135620,6108703,1
10135831,6108703,1
10135878,5960411,0
10135956,6108703,0
10136180,4901307,0
10136180,5103459,0
10136426,6590928,0
10136635,4925572,0
10136911,4733665,0
10136964,4575330,0
10136991,4733665,1
10137061,6387981,1
10137061,6572693,1
10137061,6730156,1
10137196,4816567,0
10137204,4816567,0
10137575,5046022,0
10137892,5471515,0
10138284,5514646,0
10138291,4683195,0
